movie_name,overview,ranking,score,score_num
肖申克的救赎,希望让人自由。,1,9.6,1035879人评价
霸王别姬,风华绝代。,2,9.5,754076人评价
这个杀手不太冷,怪蜀黍和小萝莉不得不说的故事。,3,9.4,969058人评价
阿甘正传,一部美国近现代史。,4,9.4,824943人评价
美丽人生,最美的谎言。,5,9.5,481812人评价
千与千寻,最好的宫崎骏，最好的久石让。 ,6,9.3,772312人评价
泰坦尼克号,失去的才是永恒的。 ,7,9.3,764244人评价
辛德勒的名单,拯救一个人，就是拯救整个世界。,8,9.4,438331人评价
盗梦空间,诺兰给了我们一场无法盗取的梦。,9,9.3,862379人评价
机器人总动员,小瓦力，大人生。,10,9.3,565479人评价
三傻大闹宝莱坞,英俊版憨豆，高情商版谢耳朵。,11,9.2,775917人评价
海上钢琴师,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 ,12,9.2,663494人评价
忠犬八公的故事,永远都不能忘记你所爱的人。,13,9.2,536922人评价
放牛班的春天,天籁一般的童声，是最接近上帝的存在。 ,14,9.2,519117人评价
大话西游之大圣娶亲,一生所爱。,15,9.2,568171人评价
楚门的世界,如果再也不能见到你，祝你早安，午安，晚安。,16,9.1,540757人评价
龙猫,人人心中都有个龙猫，童年就永远不会消失。,17,9.1,479410人评价
教父,千万不要记恨你的对手，这样会让你失去理智。,18,9.2,389360人评价
星际穿越,爱是一种力量，让我们超越时空感知它的存在。,19,9.2,568593人评价
熔炉,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。,20,9.2,313978人评价
乱世佳人,Tomorrow is another day.,21,9.2,302274人评价
触不可及,满满温情的高雅喜剧。,22,9.2,421361人评价
无间道,香港电影史上永不过时的杰作。,23,9.1,463815人评价
当幸福来敲门,平民励志片。 ,24,8.9,613795人评价
天堂电影院,那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。,25,9.1,340698人评价
怦然心动,真正的幸福是来自内心深处。,26,8.9,643219人评价
十二怒汉,1957年的理想主义。 ,27,9.4,193105人评价
搏击俱乐部,邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。,28,9.0,437607人评价
少年派的奇幻漂流,瑰丽壮观、无人能及的冒险之旅。,29,9.0,646955人评价
蝙蝠侠：黑暗骑士,无尽的黑暗。,30,9.1,373148人评价
鬼子来了,对敌人的仁慈，就是对自己残忍。,31,9.2,263314人评价
活着,张艺谋最好的电影。,32,9.1,310481人评价
指环王3：王者无敌,史诗的终章。,33,9.1,317924人评价
天空之城,对天空的追逐，永不停止。 ,34,9.0,373813人评价
疯狂动物城,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。,35,9.2,594729人评价
大话西游之月光宝盒,旷古烁今。,36,8.9,457512人评价
罗马假日,爱情哪怕只有一天。,37,8.9,430339人评价
飞屋环游记,最后那些最无聊的事情，才是最值得怀念的。 ,38,8.9,560140人评价
窃听风暴,别样人生。,39,9.1,252501人评价
控方证人,比利·怀德满分作品。,40,9.6,114515人评价
两杆大烟枪,4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。,41,9.1,299089人评价
飞越疯人院,自由万岁。,42,9.0,303875人评价
闻香识女人,史上最美的探戈。,43,8.9,362853人评价
哈尔的移动城堡,带着心爱的人在天空飞翔。,44,8.9,398498人评价
海豚湾,海豚的微笑，是世界上最高明的伪装。,45,9.3,197600人评价
辩护人,电影的现实意义大过电影本身。,46,9.1,241048人评价
V字仇杀队,一张面具背后的理想与革命。,47,8.8,469683人评价
死亡诗社,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。,48,9.0,312446人评价
教父2,优雅的孤独。,49,9.1,209905人评价
美丽心灵,爱是一切逻辑和原由。,50,8.9,337134人评价
指环王2：双塔奇兵,承前启后的史诗篇章。,51,9.0,299021人评价
指环王1：魔戒再现,传说的开始。,52,8.9,334719人评价
摔跤吧！爸爸,你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。,53,9.1,526899人评价
情书,暗恋的极致。,54,8.8,415728人评价
饮食男女,人生不能像做菜，把所有的料都准备好了才下锅。,55,9.1,226889人评价
美国往事,往事如烟，无处祭奠。,56,9.1,193607人评价
狮子王,动物版《哈姆雷特》。,57,8.9,312366人评价
钢琴家,音乐能化解仇恨。,58,9.0,222538人评价
素媛,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。,59,9.1,208845人评价
天使爱美丽,法式小清新。 ,60,8.7,524499人评价
七宗罪,警察抓小偷，老鼠玩死猫。,61,8.7,472687人评价
小鞋子,奔跑的孩子是天使。,62,9.2,155667人评价
被嫌弃的松子的一生,以戏谑来戏谑戏谑。,63,8.9,324829人评价
致命魔术,孪生蝙蝠侠大战克隆金刚狼。,64,8.8,379599人评价
看不见的客人,你以为你以为的就是你以为的。,65,8.8,387558人评价
音乐之声,用音乐化解仇恨，让歌声串起美好。,66,8.9,253298人评价
勇敢的心,史诗大片的典范。,67,8.8,317424人评价
本杰明·巴顿奇事,在时间之河里感受溺水之苦。,68,8.8,430533人评价
剪刀手爱德华,浪漫忧郁的成人童话。,69,8.7,528036人评价
低俗小说,故事的高级讲法。,70,8.8,368866人评价
西西里的美丽传说,美丽无罪。,71,8.7,390498人评价
黑客帝国,视觉革命。,72,8.8,310499人评价
拯救大兵瑞恩,美利坚精神输出大片No1.,73,8.9,265253人评价
沉默的羔羊,安东尼·霍普金斯的顶级表演。,74,8.7,387171人评价
入殓师,死可能是一道门，逝去并不是终结，而是超越，走向下一程。,75,8.8,340830人评价
蝴蝶效应,人的命运被自己瞬间的抉择改变。,76,8.7,418295人评价
让子弹飞,你给我翻译翻译，神马叫做TMD的惊喜。,77,8.7,684442人评价
春光乍泄,爱情纠缠，男女一致。,78,8.8,273467人评价
玛丽和马克思,你是我最好的朋友，你是我唯一的朋友 。,79,8.9,246190人评价
大闹天宫,经典之作，历久弥新。,80,9.3,113285人评价
心灵捕手,人生中应该拥有这样的一段豁然开朗。,81,8.8,298879人评价
末代皇帝,“不要跟我比惨，我比你更惨”再适合这部电影不过了。,82,8.9,193019人评价
阳光灿烂的日子,一场华丽的意淫。,83,8.8,295549人评价
幽灵公主,人与自然的战争史诗。,84,8.8,256751人评价
第六感,深入内心的恐怖，出人意料的结局。,85,8.8,255212人评价
重庆森林,寂寞没有期限。,86,8.7,363274人评价
布达佩斯大饭店,小清新的故事里注入了大历史的情怀。,87,8.8,351434人评价
禁闭岛,昔日翩翩少年，今日大腹便便。,88,8.7,394044人评价
哈利·波特与魔法石,童话世界的开端。,89,8.7,288830人评价
狩猎,人言可畏。,90,9.0,144536人评价
大鱼,抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。,91,8.7,274059人评价
致命ID,最不可能的那个人永远是最可能的。,92,8.6,347790人评价
射雕英雄传之东成西就,百看不厌。 ,93,8.7,299654人评价
猫鼠游戏,骗子大师和执著警探的你追我跑故事。 ,94,8.8,255529人评价
甜蜜蜜,相逢只要一瞬间，等待却像是一辈子。,95,8.8,250477人评价
断背山,每个人心中都有一座断背山。,96,8.7,347742人评价
一一,我们都曾经是一一。,97,8.9,168523人评价
告白,没有一人完全善，也没有一人完全恶。,98,8.7,371037人评价
阳光姐妹淘,再多各自牛逼的时光，也比不上一起傻逼的岁月。 ,99,8.8,292013人评价
加勒比海盗,约翰尼·德普的独角戏。,100,8.6,376824人评价
上帝之城,被上帝抛弃了的上帝之城。,101,8.9,168149人评价
摩登时代,大时代中的人生，小人物的悲喜。,102,9.2,98875人评价
穿条纹睡衣的男孩,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。,103,8.9,164779人评价
阿凡达,绝对意义上的美轮美奂。,104,8.6,570599人评价
爱在黎明破晓前,缘分是个连绵词，最美不过一瞬。,105,8.7,240671人评价
消失的爱人,年度最佳date movie。,106,8.7,389576人评价
风之谷,动画片的圣经。,107,8.8,190364人评价
爱在日落黄昏时,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。,108,8.7,214755人评价
侧耳倾听,少女情怀总是诗。,109,8.8,184038人评价
超脱,穷尽一生，我们要学会的，不过是彼此拥抱。,110,8.8,189048人评价
红辣椒,梦的勾结。,111,8.9,148520人评价
倩女幽魂,两张绝世的脸。 ,112,8.6,278590人评价
恐怖直播,恐怖分子的“秋菊打官司”。,113,8.7,245169人评价
驯龙高手,和谐的生活离不开摸头与被摸头。,114,8.7,307513人评价
萤火虫之墓,幸福是生生不息，却难以触及的远。 ,115,8.7,219402人评价
幸福终点站,有时候幸福需要等一等。 ,116,8.6,241434人评价
小森林 夏秋篇,那些静得只能听见呼吸的日子里，你明白孤独即生活。,117,8.9,147270人评价
菊次郎的夏天,从没见过那么流氓的温柔，从没见过那么温柔的流氓。,118,8.7,198497人评价
喜剧之王,我是一个演员。,119,8.5,345972人评价
七武士,时代悲歌。,120,9.2,83581人评价
借东西的小人阿莉埃蒂,曾经的那段美好会沉淀为一辈子的记忆。,121,8.7,234537人评价
岁月神偷,岁月流逝，来日可追。,122,8.6,325895人评价
神偷奶爸,Mr. I Don't Care其实也有Care的时候。,123,8.5,409116人评价
杀人回忆,关于连环杀人悬案的集体回忆。,124,8.7,224867人评价
真爱至上,爱，是个动词。,125,8.5,334847人评价
电锯惊魂,真相就在眼前。,126,8.7,212254人评价
海洋,大海啊，不全是水。,127,9.0,103219人评价
贫民窟的百万富翁,上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁,128,8.5,418161人评价
谍影重重3,像吃了苏打饼一样干脆的电影。,129,8.7,192808人评价
喜宴,中国家庭的喜怒哀乐忍。,130,8.8,151222人评价
东邪西毒,电影诗。,131,8.6,269352人评价
记忆碎片,一个针管引发的血案。,132,8.5,297931人评价
雨人,生活在自己的世界里，也可以让周围的人显得可笑和渺小。,133,8.6,221813人评价
怪兽电力公司,不要给它起名字，起了名字就有感情了。,134,8.6,260215人评价
